r1,r2,r3,ap,at,sl,pnl,trades
0.0,0.0,0.0,2,0.5,2.4,0,0
0.0,0.0,0.3333333333333333,2,0.5,2.4,0,0
0.0,0.0,0.6666666666666666,2,0.5,2.4,0,0
0.0,0.3333333333333333,0.0,2,0.5,2.4,0,0
0.0,0.3333333333333333,0.3333333333333333,2,0.5,2.4,0,0
0.0,0.3333333333333333,0.6666666666666666,2,0.5,2.4,0,0
0.0,0.6666666666666666,0.0,2,0.5,2.4,0,0
0.0,0.6666666666666666,0.3333333333333333,2,0.5,2.4,0,0
0.0,0.6666666666666666,0.6666666666666666,2,0.5,2.4,0,0
0.3333333333333333,0.0,0.0,2,0.5,2.4,0,0
0.3333333333333333,0.0,0.3333333333333333,2,0.5,2.4,0,0
0.3333333333333333,0.0,0.6666666666666666,2,0.5,2.4,0,0
0.3333333333333333,0.3333333333333333,0.0,2,0.5,2.4,0,0
0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.5,2.4,0,0
0.3333333333333333,0.3333333333333333,0.6666666666666666,2,0.5,2.4,0,0
0.3333333333333333,0.6666666666666666,0.0,2,0.5,2.4,0,0
0.3333333333333333,0.6666666666666666,0.3333333333333333,2,0.5,2.4,0,0
0.3333333333333333,0.6666666666666666,0.6666666666666666,2,0.5,2.4,0,0
0.6666666666666666,0.0,0.0,2,0.5,2.4,0,0
0.6666666666666666,0.0,0.3333333333333333,2,0.5,2.4,0,0
0.6666666666666666,0.0,0.6666666666666666,2,0.5,2.4,0,0
0.6666666666666666,0.3333333333333333,0.0,2,0.5,2.4,0,0
0.6666666666666666,0.3333333333333333,0.3333333333333333,2,0.5,2.4,0,0
0.6666666666666666,0.3333333333333333,0.6666666666666666,2,0.5,2.4,0,0
0.6666666666666666,0.6666666666666666,0.0,2,0.5,2.4,0,0
0.6666666666666666,0.6666666666666666,0.3333333333333333,2,0.5,2.4,0,0
0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.5,2.4,0,0
